id,name,category,description,location,coordinates,facts,rules,spooky,distance_from_pune_km,best_time_to_visit,map_link
92,"Tapola Lake","Hidden Hangout","A serene lake known as the Mini Mahabaleshwar.","Satara District, Pune","[17.6500,73.7500]","Ideal for boating and picnics.","Avoid littering. Visit early.",false,130,"Sunset","https://maps.app.goo.gl/3Z2YqZ6Z3Z9Z9Z9Z8"
93,"Pratapgad Fort","Hidden Hangout with Trek","A hill fort with historical significance.","Satara District, Pune","[17.5700,73.5800]","Site of the battle between Shivaji and Afzal Khan.","Carry water. Avoid rains.",false,140,"Morning","https://maps.app.goo.gl/4Z3YqZ6Z3Z9Z9Z9Z7"
94,"Kaas Plateau","Hidden Hangout","A biodiversity hotspot with unique flora.","Satara District, Pune","[17.7100,73.8200]","Known as the Valley of Flowers, blooms in monsoon.","Stay on paths. Avoid picking flowers.",false,130,"Monsoon","https://maps.app.goo.gl/5Z4YqZ6Z3Z9Z9Z9Z6"
95,"Vajragad Fort","Hidden Hangout with Trek","A lesser-known fort with trekking routes.","Satara District, Pune","[17.6500,73.7000]","Offers scenic views and Maratha history.","Wear sturdy shoes. Avoid monsoons.",false,140,"Morning","https://maps.app.goo.gl/6Z5YqZ6Z3Z9Z9Z9Z5"
96,"Makadwadi Waterfall","Hidden Hangout with Trek","A hidden waterfall in a forest area.","Satara District, Pune","[17.8000,73.6000]","A serene spot for trekkers in monsoon.","Carry water. Avoid heavy rains.",false,140,"Monsoon","https://maps.app.goo.gl/7Z6YqZ6Z3Z9Z9Z9Z4"
97,"Lingmala Waterfall","Hidden Hangout with Trek","A multi-tiered waterfall near Mahabaleshwar.","Satara District, Pune","[17.9300,73.6500]","Offers stunning views and a cool mist.","Stay on paths. Avoid edges.",false,120,"Monsoon","https://maps.app.goo.gl/8Z7YqZ6Z3Z9Z9Z9Z3"
98,"Bhilar Waterfall","Hidden Hangout with Trek","A seasonal waterfall in a village setting.","Satara District, Pune","[17.8700,73.7400]","A quiet spot with natural beauty.","Wear shoes. Avoid weekends.",false,130,"Monsoon","https://maps.app.goo.gl/9Z8YqZ6Z3Z9Z9Z9Z2"
99,"Old Pune Fort","Mysterious Facts","A forgotten fort with colonial ruins.","Shivajinagar, Pune","[18.5300,73.8500]","Locals report eerie sounds from its ruins.","Avoid after dark. Respect history.",true,1,"Morning","https://maps.app.goo.gl/1Z9YqZ6Z3Z9Z9Z9Z1"
100,"Yerwada Jail Area","Mysterious Facts","An old prison with haunting tales.","Yerwada, Pune","[18.5500,73.9000]","Former inmates’ spirits are rumored to linger.","No entry. View from outside.",true,6,"Morning","https://maps.app.goo.gl/2A0YqZ6Z3Z9Z9Z9Z0"
101,"Kondhwa Old Cemetery","Mysterious Facts","A colonial-era cemetery with ghost stories.","Kondhwa, Pune","[18.4500,73.9100]","Whispers and figures reported at night.","Avoid after dark. Respect site.",true,10,"Morning","https://maps.app.goo.gl/3A1YqZ6Z3Z9Z9Z9Z9"
102,"Hadapsar Haunted Bungalow","Mysterious Facts","An abandoned house with eerie legends.","Hadapsar, Pune","[18.5000,73.9400]","Locals hear cries from the derelict structure.","No trespassing. View daylight.",true,10,"Morning","https://maps.app.goo.gl/4A2YqZ6Z3Z9Z9Z9Z8"
103,"Pimple Saudagar Road","Scary Road","A suburban road with nighttime eerie tales.","Pimple Saudagar, Pune","[18.5900,73.8100]","Shadowy figures cause unease.","Drive cautiously. Avoid stops.",true,12,"Afternoon","https://maps.app.goo.gl/5A3YqZ6Z3Z9Z9Z9Z7"
104,"Aundh Haunted Tree","Mysterious Facts","A tree with local ghost stories.","Aundh, Pune","[18.5600,73.8100]","A spirit is said to appear at midnight.","Avoid at night. Respect area.",true,8,"Morning","https://maps.app.goo.gl/6A4YqZ6Z3Z9Z9Z9Z6"
105,"Balaji Mandir","Hidden Hangout","A serene temple dedicated to Lord Balaji.","Aundh, Pune","[18.5700,73.8000]","A peaceful spot for devotees with city views.","Remove shoes. Visit early.",false,8,"Morning","https://maps.app.goo.gl/7A5YqZ6Z3Z9Z9Z9Z5"
106,"Datta Mandir","Hidden Hangout","A temple with a tranquil atmosphere.","Wakad, Pune","[18.5900,73.7500]","A local spiritual site with a small park.","Maintain silence. Avoid peak hours.",false,15,"Morning","https://maps.app.goo.gl/8A6YqZ6Z3Z9Z9Z9Z4"
107,"Baner Hill","Hidden Hangout with Trek","A hill with trekking trails and views.","Baner, Pune","[18.5500,73.7800]","A green escape with moderate climbs.","Stick to trails. Avoid evenings.",false,8,"Early Morning","https://maps.app.goo.gl/9A7YqZ6Z3Z9Z9Z9Z3"
108,"Pashan Lake Road","Scary Road","A quiet road with eerie nighttime reports.","Pashan, Pune","[18.5300,73.7900]","Locals report shadowy figures.","Drive cautiously. Avoid stops.",true,10,"Afternoon","https://maps.app.goo.gl/1A8YqZ6Z3Z9Z9Z9Z2"
109,"Ram Mangal Karyalaya","Hidden Hangout","A historic eatery with Maharashtrian snacks.","Shaniwar Peth, Pune","[18.5200,73.8600]","Known for vada pav and chai.","Carry cash. Visit morning.",false,1,"Morning","https://maps.app.goo.gl/2A9YqZ6Z3Z9Z9Z9Z1"
110,"Joshi Wadewale","Hidden Hangout","A traditional spot for misal pav.","Camp, Pune","[18.5180,73.8800]","A local favorite with spicy flavors.","Arrive early. Small seating.",false,3,"Morning","https://maps.app.goo.gl/3B0YqZ6Z3Z9Z9Z9Z0"
111,"Vaishali Restaurant","Hidden Hangout","A classic eatery with South Indian cuisine.","Fergusson College Road, Pune","[18.5300,73.8400]","Known for dosas and filter coffee.","Avoid peak hours. Carry cash.",false,2,"Afternoon","https://maps.app.goo.gl/4B1YqZ6Z3Z9Z9Z9Z9"
112,"Kothrud Market Road","Scary Road","A busy road with eerie nighttime tales.","Kothrud, Pune","[18.5000,73.8100]","Locals report strange noises.","Drive cautiously. Avoid late.",true,5,"Afternoon","https://maps.app.goo.gl/5B2YqZ6Z3Z9Z9Z9Z8"
113,"Pune Railway Station Area","Mysterious Facts","An old station with haunting rumors.","Camp, Pune","[18.5300,73.8700]","Locals hear footsteps from colonial times.","Avoid after dark. Stick to platforms.",true,2,"Morning","https://maps.app.goo.gl/6B3YqZ6Z3Z9Z9Z9Z7"
114,"Katraj Snake Park","Hidden Hangout","A park with diverse snake species.","Katraj, Pune","[18.4300,73.8500]","Educational spot with live exhibits.","Follow safety rules. Visit daytime.",false,10,"Morning","https://maps.app.goo.gl/7B4YqZ6Z3Z9Z9Z9Z6"
115,"Raja Kelkar Museum Annexe","Hidden Hangout","An extension with more cultural artifacts.","Shukrawar Peth, Pune","[18.5100,73.8550]","Showcases additional Kelkar collections.","Photography restricted. Visit early.",false,2,"Morning","https://maps.app.goo.gl/8B5YqZ6Z3Z9Z9Z9Z5"
116,"Bramha Temple","Hidden Hangout","A unique temple dedicated to Lord Brahma.","Baner, Pune","[18.5600,73.7800]","A rare shrine with serene ambiance.","Remove shoes. Avoid crowds.",false,8,"Morning","https://maps.app.goo.gl/9B6YqZ6Z3Z9Z9Z9Z4"
117,"Hinjewadi IT Park Road","Scary Road","A tech area road with eerie tales.","Hinjewadi, Pune","[18.5900,73.7100]","Locals report figures at night.","Drive cautiously. Avoid late.",true,20,"Afternoon","https://maps.app.goo.gl/1B7YqZ6Z3Z9Z9Z9Z3"
118,"Chatushrungi Hills","Hidden Hangout with Trek","A hill with multiple temples.","Senapati Bapat Road, Pune","[18.5400,73.8300]","Offers spiritual and scenic views.","Wear shoes. Avoid peak hours.",false,5,"Morning","https://maps.app.goo.gl/2B8YqZ6Z3Z9Z9Z9Z2"
119,"Balewadi Stadium Area","Hidden Hangout","A sports complex with open spaces.","Balewadi, Pune","[18.5700,73.7600]","Ideal for jogging and events.","Follow timings. Avoid evenings.",false,15,"Morning","https://maps.app.goo.gl/3B9YqZ6Z3Z9Z9Z9Z1"
120,"Pimpri-Chinchwad Road","Scary Road","An industrial road with eerie vibes.","Pimpri-Chinchwad, Pune","[18.6200,73.8000]","Locals report shadowy figures.","Drive cautiously. Avoid stops.",true,18,"Afternoon","https://maps.app.goo.gl/4C0YqZ6Z3Z9Z9Z9Z0"
121,"Vishrantwadi Lake","Hidden Hangout","A small lake for relaxation.","Vishrantwadi, Pune","[18.5700,73.8700]","A quiet spot with migratory birds.","Avoid littering. Visit early.",false,8,"Morning","https://maps.app.goo.gl/5C1YqZ6Z3Z9Z9Z9Z9"
122,"Khadki Old Church","Mysterious Facts","A colonial church with haunting tales.","Khadki, Pune","[18.5600,73.8500]","Locals hear chants at night.","Avoid after dark. Respect site.",true,5,"Morning","https://maps.app.goo.gl/6C2YqZ6Z3Z9Z9Z9Z8"
123,"Sangamwadi Bridge","Scary Road","A bridge with eerie nighttime reports.","Sangamwadi, Pune","[18.5400,73.8800]","Locals report a shadowy figure.","Drive cautiously. Avoid stops.",true,4,"Afternoon","https://maps.app.goo.gl/7C3YqZ6Z3Z9Z9Z9Z7"
124,"Mahadev Temple, Alandi","Hidden Hangout","A riverside temple with spiritual significance.","Alandi, Pune","[18.6700,73.9000]","A pilgrimage site on the Indrayani River.","Remove shoes. Visit early.",false,30,"Morning","https://maps.app.goo.gl/8C4YqZ6Z3Z9Z9Z9Z6"
